"Country","Gold medals","latitude","longitude","Continent"
"Austria",3,47.516231,14.550072,"Europe"
"Belarus",10,53.709807,27.953389,"Europe"
"Belgium",2,50.503887,4.469936,"Europe"
"Bulgaria",3,42.733883,25.48583,"Europe"
"Croatia",14,45.1,15.2,"Europe"
"Czech Republic",4,49.817492,15.472962,"Europe"
"Denmark",25,56.26392,9.501785,"Europe"
"Estonia",1,58.595272,25.013607,"Europe"
"Finland",1,61.92411,25.748151,"Europe"
"France",46,46.227638,2.213749,"Europe"
"Germany",83,51.165691,10.451526,"Europe"
"Greece",8,39.074208,21.824312,"Europe"
"Hungary",40,47.162494,19.503304,"Europe"
"Italy",32,41.87194,12.56738,"Europe"
"Latvia",1,56.879635,24.603189,"Europe"
"Lithuania",1,55.169438,23.881275,"Europe"
"Netherlands",44,52.132633,5.291266,"Europe"
"Norway",21,60.472024,8.468946,"Europe"
"Poland",10,51.919438,19.145136,"Europe"
"Portugal",1,39.399872,-8.224454,"Europe"
"Romania",28,45.943161,24.96676,"Europe"
"Russia",90,61.52401,105.318756,"Europe"
"Slovakia",7,48.669026,19.699024,"Europe"
"Slovenia",1,46.151241,14.995463,"Europe"
"Spain",11,40.463667,-3.74922,"Europe"
"Sweden",5,60.128161,18.643501,"Europe"
"Switzerland",4,46.818188,8.227512,"Europe"
"Ukraine",19,48.379433,31.16558,"Europe"
"United Kingdom",48,55.378051,-3.435973,"Europe"
