Country,Gold Medals,latitude,longitude,continent
Austria,3,47.516231,14.550072,Europe
Belarus,30,53.709807,27.953389,Europe
Belgium,5,50.503887,4.469936,Europe
Bulgaria,5,42.733883,25.48583,Europe
Croatia,5,45.1,15.2,Europe
Czech Republic,7,49.817492,15.472962,Europe
Denmark,18,56.26392,9.501785,Europe
Estonia,3,58.595272,25.013607,Europe
Finland,5,61.92411,25.748151,Europe
France,76,46.227638,2.213749,Europe
Germany,101,51.165691,10.451526,Europe
Greece,7,39.074208,21.824312,Europe
Hungary,27,47.162494,19.503304,Europe
Iceland,14,64.963051,-19.020835,Europe
Ireland,3,53.41291,-8.24389,Europe
Italy,42,41.87194,12.56738,Europe
Latvia,3,56.879635,24.603189,Europe
Lithuania,5,55.169438,23.881275,Europe
Moldova,1,47.411631,28.369885,Europe
Netherlands,62,52.132633,5.291266,Europe
Norway,22,60.472024,8.468946,Europe
Poland,20,51.919438,19.145136,Europe
Portugal,2,39.399872,-8.224454,Europe
Romania,22,45.943161,24.96676,Europe
Russia,143,58,36,Europe
Serbia,15,44.016521,21.005859,Europe
Slovakia,10,48.669026,19.699024,Europe
Slovenia,5,46.151241,14.995463,Europe
Spain,71,40.463667,-3.74922,Europe
Sweden,7,60.128161,18.643501,Europe
Switzerland,11,46.818188,8.227512,Europe
Ukraine,31,48.379433,31.16558,Europe
United Kingdom,77,55.378051,-3.435973,Europe
