"Country","n","latitude","longitude","continent"
"Argentina",46,-38.416097,-63.616672,"South America"
"Australia",80,-25.274398,133.775136,"Oceania"
"Austria",3,47.516231,14.550072,"Europe"
"Azerbaijan",2,40.143105,47.576927,"Asia"
"Bahamas",1,25.03428,-77.39628,"North America"
"Belarus",10,53.709807,27.953389,"Europe"
"Belgium",2,50.503887,4.469936,"Europe"
"Brazil",32,-14.235004,-51.92528,"South America"
"Bulgaria",3,42.733883,25.48583,"Europe"
"Cameroon",2,7.369722,12.354722,"Africa"
"Canada",14,56.130366,-106.346771,"North America"
"Chile",3,-35.675147,-71.542969,"South America"
"China",126,35.86166,104.195397,"Asia"
"Croatia",14,45.1,15.2,"Europe"
"Cuba",33,21.521757,-77.781167,"North America"
"Czech Republic",4,49.817492,15.472962,NA
"Denmark",25,56.26392,9.501785,"Europe"
"Dominican Republic",2,18.735693,-70.162651,"North America"
"Egypt",1,26.820553,30.802498,"Africa"
"Estonia",1,58.595272,25.013607,"Europe"
"Ethiopia",6,9.145,40.489673,"Africa"
"Finland",1,61.92411,25.748151,"Europe"
"France",46,46.227638,2.213749,"Europe"
"Georgia",5,42.315407,43.356892,"Asia"
"Germany",83,51.165691,10.451526,"Europe"
"Greece",8,39.074208,21.824312,"Europe"
"Hungary",40,47.162494,19.503304,"Europe"
"India",1,20.593684,78.96288,"Asia"
"Indonesia",3,-0.789275,113.921327,"Asia"
"Iran",3,32.427908,53.688046,"Asia"
"Israel",1,31.046051,34.851612,"Asia"
"Italy",32,41.87194,12.56738,"Europe"
"Jamaica",15,18.109581,-77.297508,"North America"
"Japan",44,36.204824,138.252924,"Asia"
"Kazakhstan",3,48.019573,66.923684,"Asia"
"Kenya",7,-0.023559,37.906193,"Africa"
"Korea, North",2,NA,NA,NA
"Korea, South",55,NA,NA,NA
"Latvia",1,56.879635,24.603189,"Europe"
"Lithuania",1,55.169438,23.881275,"Europe"
"Mexico",2,23.634501,-102.552784,"North America"
"Mongolia",2,46.862496,103.846656,"Asia"
"Morocco",2,31.791702,-7.09262,"Africa"
"Netherlands",44,52.132633,5.291266,"Europe"
"New Zealand",8,-40.900557,174.885971,"Oceania"
"Norway",21,60.472024,8.468946,"Europe"
"Panama",1,8.537981,-80.782127,"North America"
"Poland",10,51.919438,19.145136,"Europe"
"Portugal",1,39.399872,-8.224454,"Europe"
"Romania",28,45.943161,24.96676,"Europe"
"Russia",90,61.52401,105.318756,"Europe"
"Slovakia",7,48.669026,19.699024,"Europe"
"Slovenia",1,46.151241,14.995463,"Europe"
"South Africa",4,-30.559482,22.937506,"Africa"
"Spain",11,40.463667,-3.74922,"Europe"
"Sweden",5,60.128161,18.643501,"Europe"
"Switzerland",4,46.818188,8.227512,"Europe"
"Taiwan",2,23.69781,120.960515,"Asia"
"Thailand",5,15.870032,100.992541,"Asia"
"Tunisia",1,33.886917,9.537499,"Africa"
"Turkey",4,38.963745,35.243322,"Asia"
"Ukraine",19,48.379433,31.16558,"Europe"
"United Arab Emirates",1,23.424076,53.847818,"Asia"
"United Kingdom",48,55.378051,-3.435973,"Europe"
"United States",241,37.09024,-95.712891,"North America"
"Uzbekistan",3,41.377491,64.585262,"Asia"
"Zimbabwe",2,-19.015438,29.154857,"Africa"
